"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"235","01","Level 2 & 3",">100 - 300","73.56","Q3 2015"
"236","01","Level 2 & 3",">300","39.77","Q3 2015"
"237","01","Level 4 & Above","30 & Below","NA","Q3 2015"
"238","01","Level 4 & Above",">30 - 100","77.34","Q3 2015"
"239","01","Level 4 & Above",">100 - 300","91.81","Q3 2015"
"240","01","Level 4 & Above",">300","NA","Q3 2015"
"241","01","B1 & Below","30 & Below","247.58","Q4 2015"
"242","01","B1 & Below",">30 - 100","134.11","Q4 2015"
"243","01","B1 & Below",">100 - 300","168.94","Q4 2015"
"244","01","B1 & Below",">300","NA","Q4 2015"
"245","01","Level 1","30 & Below","238.96","Q4 2015"
"246","01","Level 1",">30 - 100","180.28","Q4 2015"
"247","01","Level 1",">100 - 300","161.43","Q4 2015"
"248","01","Level 1",">300","NA","Q4 2015"
"249","01","Level 2 & 3","30 & Below","142.86","Q4 2015"
"250","01","Level 2 & 3",">30 - 100","81.38","Q4 2015"
"251","01","Level 2 & 3",">100 - 300","91.49","Q4 2015"
"252","01","Level 2 & 3",">300","57.84","Q4 2015"
"253","01","Level 4 & Above","30 & Below","NA","Q4 2015"
"254","01","Level 4 & Above",">30 - 100","74.12","Q4 2015"
"255","01","Level 4 & Above",">100 - 300","80.83","Q4 2015"
"256","01","Level 4 & Above",">300","NA","Q4 2015"
"257","01","B1 & Below","30 & Below","123.76","Q1 2016"
"258","01","B1 & Below",">30 - 100","135.48","Q1 2016"
"259","01","B1 & Below",">100 - 300","172.09","Q1 2016"
"260","01","B1 & Below",">300","NA","Q1 2016"
"261","01","Level 1","30 & Below","289.16","Q1 2016"
"262","01","Level 1",">30 - 100","166.93","Q1 2016"
"263","01","Level 1",">100 - 300","91.33","Q1 2016"
"264","01","Level 1",">300","75.35","Q1 2016"
"265","01","Level 2 & 3","30 & Below","97.00","Q1 2016"
"266","01","Level 2 & 3",">30 - 100","85.57","Q1 2016"
"267","01","Level 2 & 3",">100 - 300","72.96","Q1 2016"
"268","01","Level 2 & 3",">300","78.15","Q1 2016"
"269","01","Level 4 & Above","30 & Below","NA","Q1 2016"
"270","01","Level 4 & Above",">30 - 100","79.03","Q1 2016"
"271","01","Level 4 & Above",">100 - 300","96.86","Q1 2016"
"272","01","Level 4 & Above",">300","94.47","Q1 2016"
"273","01","B1 & Below","30 & Below","158.37","Q2 2016"
"274","01","B1 & Below",">30 - 100","131.77","Q2 2016"
"275","01","B1 & Below",">100 - 300","172.22","Q2 2016"
"276","01","B1 & Below",">300","NA","Q2 2016"
"277","01","Level 1","30 & Below","216.67","Q2 2016"
"278","01","Level 1",">30 - 100","177.30","Q2 2016"
"279","01","Level 1",">100 - 300","61.87","Q2 2016"
"280","01","Level 1",">300","91.76","Q2 2016"
"281","01","Level 2 & 3","30 & Below","135.55","Q2 2016"
"282","01","Level 2 & 3",">30 - 100","92.31","Q2 2016"
"283","01","Level 2 & 3",">100 - 300","89.37","Q2 2016"
"284","01","Level 2 & 3",">300","71.79","Q2 2016"
"285","01","Level 4 & Above","30 & Below","NA","Q2 2016"
"286","01","Level 4 & Above",">30 - 100","77.59","Q2 2016"
"287","01","Level 4 & Above",">100 - 300","92.68","Q2 2016"
"288","01","Level 4 & Above",">300","NA","Q2 2016"
"289","01","B1 & Below","30 & Below","177.61","Q3 2016"
"290","01","B1 & Below",">30 - 100","150.70","Q3 2016"
"291","01","B1 & Below",">100 - 300","153.97","Q3 2016"
"292","01","B1 & Below",">300","NA","Q3 2016"
"293","01","Level 1","30 & Below","163.04","Q3 2016"
"294","01","Level 1",">30 - 100","171.46","Q3 2016"
"295","01","Level 1",">100 - 300","117.65","Q3 2016"
"296","01","Level 1",">300","57.65","Q3 2016"
"297","01","Level 2 & 3","30 & Below","105.66","Q3 2016"
"298","01","Level 2 & 3",">30 - 100","85.54","Q3 2016"
"299","01","Level 2 & 3",">100 - 300","86.13","Q3 2016"
"300","01","Level 2 & 3",">300","NA","Q3 2016"
"301","01","Level 4 & Above","30 & Below","NA","Q3 2016"
"302","01","Level 4 & Above",">30 - 100","75.00","Q3 2016"
"303","01","Level 4 & Above",">100 - 300","83.40","Q3 2016"
"304","01","Level 4 & Above",">300","NA","Q3 2016"
"305","01","B1 & Below","30 & Below","179.92","Q4 2016"
"306","01","B1 & Below",">30 - 100","129.17","Q4 2016"
"307","01","B1 & Below",">100 - 300","129.18","Q4 2016"
"308","01","B1 & Below",">300","NA","Q4 2016"
"309","01","Level 1","30 & Below","191.72","Q4 2016"
"310","01","Level 1",">30 - 100","176.96","Q4 2016"
"311","01","Level 1",">100 - 300","118.41","Q4 2016"
"312","01","Level 1",">300","76.42","Q4 2016"
"313","01","Level 2 & 3","30 & Below","81.58","Q4 2016"
"314","01","Level 2 & 3",">30 - 100","72.75","Q4 2016"
"315","01","Level 2 & 3",">100 - 300","80.18","Q4 2016"
"316","01","Level 2 & 3",">300","78.58","Q4 2016"
"317","01","Level 4 & Above","30 & Below","NA","Q4 2016"
"318","01","Level 4 & Above",">30 - 100","73.71","Q4 2016"
"319","01","Level 4 & Above",">100 - 300","92.56","Q4 2016"
"320","01","Level 4 & Above",">300","86.11","Q4 2016"
"321","01","B1 & Below","30 & Below","115.04","Q1 2017"
"322","01","B1 & Below",">30 - 100","119.78","Q1 2017"
"323","01","B1 & Below",">100 - 300","NA","Q1 2017"
"324","01","B1 & Below",">300","NA","Q1 2017"
"325","01","Level 1","30 & Below","249.31","Q1 2017"
"326","01","Level 1",">30 - 100","164.01","Q1 2017"
"327","01","Level 1",">100 - 300","65.66","Q1 2017"
"328","01","Level 1",">300","54.89","Q1 2017"
"329","01","Level 2 & 3","30 & Below","142.86","Q1 2017"
"330","01","Level 2 & 3",">30 - 100","93.15","Q1 2017"
"331","01","Level 2 & 3",">100 - 300","62.30","Q1 2017"
"332","01","Level 2 & 3",">300","78.04","Q1 2017"
"333","01","Level 4 & Above","30 & Below","NA","Q1 2017"
"334","01","Level 4 & Above",">30 - 100","76.72","Q1 2017"
"335","01","Level 4 & Above",">100 - 300","68.47","Q1 2017"
"336","01","Level 4 & Above",">300","NA","Q1 2017"
"337","01","B1 & Below","30 & Below","392.06","Q2 2017"
"338","01","B1 & Below",">30 - 100","147.51","Q2 2017"
"339","01","B1 & Below",">100 - 300","72.26","Q2 2017"
"340","01","B1 & Below",">300","49.63","Q2 2017"
"341","01","Level 1","30 & Below","141.45","Q2 2017"
"342","01","Level 1",">30 - 100","156.69","Q2 2017"
"343","01","Level 1",">100 - 300","107.64","Q2 2017"
"344","01","Level 1",">300","76.19","Q2 2017"
"345","01","Level 2 & 3","30 & Below","133.33","Q2 2017"
"346","01","Level 2 & 3",">30 - 100","86.17","Q2 2017"
"347","01","Level 2 & 3",">100 - 300","62.39","Q2 2017"
"348","01","Level 2 & 3",">300","59.20","Q2 2017"
"349","01","Level 4 & Above","30 & Below","119.12","Q2 2017"
"350","01","Level 4 & Above",">30 - 100","76.30","Q2 2017"
"351","01","Level 4 & Above",">100 - 300","80.80","Q2 2017"
"352","01","Level 4 & Above",">300","64.59","Q2 2017"
"353","01","B1 & Below","30 & Below","236.82","Q3 2017"
"354","01","B1 & Below",">30 - 100","114.60","Q3 2017"
